Time,Channel B
(ms),(mV)

-0.87532571,217.23070000
-0.87500571,221.70170000
-0.87468571,221.70170000
-0.87436571,221.70170000
-0.87404571,217.23070000
-0.87372571,217.23070000
-0.87340571,217.23070000
-0.87308571,217.23070000
-0.87276571,217.23070000
-0.87244571,217.23070000
-0.87212571,217.23070000
-0.87180571,217.23070000
-0.87148571,217.23070000
-0.87116571,217.23070000
-0.87084571,217.23070000
-0.87052571,212.74450000
-0.87020571,212.74450000
-0.86988571,212.74450000
-0.86956571,217.23070000
-0.86924571,217.23070000
-0.86892571,217.23070000
-0.86860571,212.74450000
-0.86828571,212.74450000
-0.86796571,212.74450000
-0.86764571,212.74450000
-0.86732571,212.74450000
-0.86700571,212.74450000
-0.86668571,212.74450000
-0.86636571,212.74450000
-0.86604571,212.74450000
-0.86572571,212.74450000
-0.86540571,212.74450000
-0.86508571,208.27360000
-0.86476571,212.74450000
-0.86444571,212.74450000
-0.86412571,212.74450000
-0.86380571,208.27360000
-0.86348571,208.27360000
-0.86316571,212.74450000
-0.86284571,208.27360000
-0.86252571,208.27360000
-0.86220571,208.27360000
-0.86188571,208.27360000
-0.86156571,208.27360000
-0.86124571,208.27360000
-0.86092571,208.27360000
-0.86060571,208.27360000
-0.86028571,208.27360000
-0.85996571,208.27360000
-0.85964571,208.27360000
-0.85932571,203.78730000
-0.85900571,203.78730000
-0.85868571,208.27360000
-0.85836571,203.78730000
-0.85804571,203.78730000
-0.85772571,203.78730000
-0.85740571,203.78730000
-0.85708571,203.78730000
-0.85676571,203.78730000
-0.85644571,203.78730000
-0.85612571,203.78730000
-0.85580571,203.78730000
-0.85548571,203.78730000
-0.85516571,203.78730000
-0.85484571,199.31640000
-0.85452571,203.78730000
-0.85420571,199.31640000
-0.85388571,203.78730000
-0.85356571,199.31640000
-0.85324571,199.31640000
-0.85292571,199.31640000
-0.85260571,199.31640000
-0.85228571,199.31640000
-0.85196571,199.31640000
-0.85164571,199.31640000
-0.85132571,199.31640000
-0.85100571,199.31640000
-0.85068571,199.31640000
-0.85036571,199.31640000
-0.85004571,199.31640000
-0.84972571,199.31640000
-0.84940571,199.31640000
-0.84908571,199.31640000
-0.84876571,194.84540000
-0.84844571,194.84540000
-0.84812571,199.31640000
-0.84780571,194.84540000
-0.84748571,194.84540000
-0.84716571,194.84540000
-0.84684571,194.84540000
-0.84652571,194.84540000
-0.84620571,194.84540000
-0.84588571,194.84540000
-0.84556571,194.84540000
-0.84524571,194.84540000
-0.84492571,194.84540000
-0.84460571,194.84540000
-0.84428571,190.35920000
-0.84396571,194.84540000
-0.84364571,194.84540000
-0.84332571,194.84540000
-0.84300571,190.35920000
-0.84268571,194.84540000
-0.84236571,190.35920000
-0.84204571,194.84540000
-0.84172571,190.35920000
