Time,Channel A,Channel B
(ms),(mV),(V)

4.70722414,-31.15940000,-0.98556480
4.70978414,-35.61510000,-0.98556480
4.71234414,-31.15940000,-0.98556480
4.71490414,-31.15940000,-1.00351000
4.71746414,-35.61510000,-0.98556480
4.72002414,-35.61510000,-0.98556480
4.72258414,-35.61510000,-0.98556480
4.72514414,-26.70370000,-0.98556480
4.72770414,-31.15940000,-1.00351000
4.73026414,-31.15940000,-0.98556480
4.73282414,-31.15940000,-0.98556480
4.73538414,-31.15940000,-0.98556480
4.73794414,-31.15940000,-0.98556480
4.74050414,-35.61510000,-0.98556480
4.74306414,-31.15940000,-1.00351000
4.74562414,-35.61510000,-0.98556480
4.74818414,-31.15940000,-0.98556480
4.75074414,-35.61510000,-1.00351000
4.75330414,-26.70370000,-0.98556480
4.75586414,-35.61510000,-1.00351000
4.75842414,-35.61510000,-1.00351000
4.76098414,-31.15940000,-0.98556480
4.76354414,-31.15940000,-0.98556480
4.76610414,-31.15940000,-0.98556480
4.76866414,-31.15940000,-0.98556480
4.77122414,-31.15940000,-0.98556480
4.77378414,-35.61510000,-0.98556480
4.77634414,-31.15940000,-0.98556480
4.77890414,-31.15940000,-0.98556480
4.78146414,-35.61510000,-0.98556480
4.78402414,-31.15940000,-1.00351000
4.78658414,-31.15940000,-0.98556480
4.78914414,-31.15940000,-1.00351000
4.79170414,-35.61510000,-0.98556480
4.79426414,-35.61510000,-0.98556480
4.79682414,-35.61510000,-0.98556480
4.79938414,-31.15940000,-0.98556480
4.80194414,-31.15940000,-0.98556480
4.80450414,-35.61510000,-0.98556480
4.80706414,-31.15940000,-0.98556480
4.80962414,-35.61510000,-0.98556480
4.81218414,-35.61510000,-1.00351000
4.81474414,-35.61510000,-0.98556480
4.81730414,-31.15940000,-0.98556480
4.81986414,-35.61510000,-0.98556480
4.82242414,-31.15940000,-1.00351000
4.82498414,-31.15940000,-1.00351000
4.82754414,-40.05554000,-1.00351000
4.83010414,-35.61510000,-0.98556480
4.83266414,-35.61510000,-0.98556480
4.83522414,-35.61510000,-0.98556480
4.83778414,-40.05554000,-0.98556480
4.84034414,-35.61510000,-0.98556480
4.84290414,-35.61510000,-0.98556480
4.84546414,-40.05554000,-1.00351000
4.84802414,-40.05554000,-0.98556480
4.85058414,-40.05554000,-0.98556480
4.85314414,-35.61510000,-0.98556480
4.85570414,-40.05554000,-0.98556480
4.85826414,-35.61510000,-1.00351000
4.86082414,-40.05554000,-0.98556480
4.86338414,-40.05554000,-0.98556480
4.86594414,-44.51125000,-0.98556480
4.86850414,-44.51125000,-1.00351000
